Minimum occurences,Recall Without,Precision Without,F1-measure Without,Nr Relations Without,Recall With,Precision With,F1-measure With,Nr Relations With
34,0.16666666666666666,0.5121951219512195,0.25149700598802394,82,0.16279069767441862,0.5616438356164384,0.25241864555848725,73
35,0.16666666666666666,0.5121951219512195,0.25149700598802394,82,0.16279069767441862,0.5616438356164384,0.25241864555848725,73
36,0.16279069767441862,0.5061728395061729,0.24635193133047212,81,0.15891472868217055,0.5555555555555556,0.24713682941531043,72
37,0.15891472868217055,0.5063291139240507,0.24190574526144995,79,0.15503875968992248,0.5492957746478874,0.24182297318245236,71
38,0.15503875968992248,0.5,0.23668639053254437,78,0.1511627906976744,0.5428571428571428,0.23647678314983245,70
39,0.15503875968992248,0.5,0.23668639053254437,78,0.1511627906976744,0.5428571428571428,0.23647678314983245,70
40,0.15503875968992248,0.5131578947368421,0.23813158296443296,76,0.1511627906976744,0.5588235294117647,0.2379576107899807,68
41,0.1434108527131783,0.4931506849315068,0.22220368671282006,73,0.13953488372093023,0.5384615384615384,0.22163588390501318,65
42,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
43,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
44,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
45,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
46,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
47,0.1434108527131783,0.5070422535211268,0.22358371800251783,71,0.13953488372093023,0.546875,0.22233986236103756,64
48,0.13953488372093023,0.5,0.21818181818181817,70,0.13565891472868216,0.5396825396825397,0.21681698096018945,63
49,0.13953488372093023,0.5,0.21818181818181817,70,0.13565891472868216,0.5396825396825397,0.21681698096018945,63
50,0.13953488372093023,0.5072463768115942,0.21886399166232412,69,0.13565891472868216,0.5483870967741935,0.21751050996161575,62
51,0.13953488372093023,0.5072463768115942,0.21886399166232412,69,0.13565891472868216,0.5483870967741935,0.21751050996161575,62
52,0.13565891472868216,0.5151515151515151,0.21476267821692835,66,0.13178294573643412,0.55,0.21262080727686186,60
53,0.13565891472868216,0.5230769230769231,0.2154431067258079,65,0.13178294573643412,0.559322033898305,0.21330798479087454,59
54,0.13565891472868216,0.5230769230769231,0.2154431067258079,65,0.13178294573643412,0.559322033898305,0.21330798479087454,59
55,0.13565891472868216,0.5230769230769231,0.2154431067258079,65,0.13178294573643412,0.559322033898305,0.21330798479087454,59
56,0.13565891472868216,0.5230769230769231,0.2154431067258079,65,0.13178294573643412,0.559322033898305,0.21330798479087454,59
57,0.13178294573643412,0.515625,0.20991580916744623,64,0.12790697674418605,0.5517241379310345,0.20766961651917404,58
58,0.13178294573643412,0.515625,0.20991580916744623,64,0.12790697674418605,0.5517241379310345,0.20766961651917404,58
59,0.13178294573643412,0.515625,0.20991580916744623,64,0.12790697674418605,0.5517241379310345,0.20766961651917404,58
60,0.13178294573643412,0.515625,0.20991580916744623,64,0.12790697674418605,0.5517241379310345,0.20766961651917404,58
61,0.12790697674418605,0.5079365079365079,0.20435413642960812,63,0.12403100775193798,0.543859649122807,0.20199552026063938,57
62,0.12790697674418605,0.5079365079365079,0.20435413642960812,63,0.12403100775193798,0.543859649122807,0.20199552026063938,57
63,0.12790697674418605,0.5079365079365079,0.20435413642960812,63,0.12403100775193798,0.543859649122807,0.20199552026063938,57
64,0.12790697674418605,0.5161290322580645,0.20500873616773443,62,0.12403100775193798,0.5535714285714286,0.20265577119509703,56
65,0.12403100775193798,0.5081967213114754,0.1993969849246231,61,0.12015503875968993,0.5454545454545454,0.196929592376919,55
66,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
67,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
68,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
69,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
70,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
71,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
72,0.12403100775193798,0.5166666666666667,0.20004033071183705,60,0.12015503875968993,0.5555555555555556,0.1975780752071383,54
73,0.11627906976744186,0.5,0.18867924528301888,58,0.1124031007751938,0.5384615384615384,0.1859825927622538,52
74,0.11627906976744186,0.5,0.18867924528301888,58,0.1124031007751938,0.5384615384615384,0.1859825927622538,52
75,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
76,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
77,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
78,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
79,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
80,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
81,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
82,0.11627906976744186,0.5087719298245614,0.18929503916449086,57,0.1124031007751938,0.5490196078431373,0.18660232103872232,51
83,0.11627906976744186,0.5178571428571429,0.1899148657498363,56,0.1124031007751938,0.56,0.18722619322112063,50
84,0.11627906976744186,0.5272727272727272,0.19053876478318002,55,0.1124031007751938,0.5714285714285714,0.18785425101214576,49
85,0.11627906976744186,0.5272727272727272,0.19053876478318002,55,0.1124031007751938,0.5714285714285714,0.18785425101214576,49
