Belinda Bencic,Maria Sharapova
Alison Riske,Petra Kvitova
Venus Williams,Agnieszka Radwanska
Michelle Larcher,De Brito
Tereza Smitkova,Bojana Jovanovski
Lucie Safarova,Dominika Cibulkova
Shuai Peng,Lauren Davis
Barbora Zahlavova,Na Li
Ekaterina Makarova,Caroline Garcia
Caroline Wozniacki,Ana Konjuh
Belinda Bencic,Victoria Duval
Madison Keys,Klara Koukalova
Vera Zvonareva,Donna Vekic
Maria Sharapova,Timea Bacsinszky
Angelique Kerber,Heather Watson
Eugenie Bouchard,Silvia Soler
Alison Riske,Camila Giorgi
Andrea Petkovic,Camelia Begu
Sabine Lisicki,Karolina Pliskova
Zarina Diyas,Carla Suarez
Kirsten Flipkens,Lourdes Dominguez
Yaroslava Shvedova,Kaia Kanepi
Ana Ivanovic,Jie Zheng
Alize Cornet,Petra Cetkovska
Serena Williams,Chanelle Scheepers
Michelle Larcher,De Brito
Jarmila Gajdosova,Dominika Cibulkova
Alison Van,Lauren Davis
Flavia Pennetta,Shuai Peng
Maria Kirilenko,Caroline Wozniacki
Naomi Broady,Ana Konjuh
Yanina Wickmayer,Tereza Smitkova
Coco Vandeweghe,Lucie Safarova
Polona Hercog,Bojana Jovanovski
Victoria Azarenka,Caroline Garcia
Varvara Lepchenko,Petra Kvitova
Mona Barthel,Ekaterina Makarova
Misaki Doi,Agnieszka Radwanska
Casey Dellacqua,Barbora Zahlavova
Elena Vesnina,Venus Williams
Kurumi Nara,Na Li
Yvonne Meusburger,Ekaterina Makarova
Agnieszka Radwanska,Vera Zvonareva
Tara Moore,Zarina Diyas
Kristina Mladenovic,Yanina Wickmayer
Samantha Stosur,Victoria Azarenka
Mirjana Lucic,Maria Kirilenko
Sloane Stephens,Kurumi Nara
Lena Friedsam,Venus Williams
Teresa Torro,Coco Vandeweghe
Garbine Muguruza,Yvonne Meusburger
Vania King,Shuai Peng
Johanna Konta,Ana Konjuh
Marina Erakovic,Alison Van
Monica Niculescu,Misaki Doi
Elina Svitolina,Casey Dellacqua
Anett Kontaveit,Jarmila Gajdosova
Stefanie Voegele,Elena Vesnina
Patricia Mayr,Mona Barthel
Romina Oprandi,Bojana Jovanovski
Johanna Larsson,Polona Hercog
Paula Ormaechea,Lucie Safarova
Julia Goerges,Ekaterina Makarova
Kimiko Date,Lauren Davis
Alisa Kleybanova,Dominika Cibulkova
Aleksandra Wozniak,Tereza Smitkova
Wei Hsieh,Na Li
Paula Kania,Naomi Broady
Timea Babos,Petra Kvitova
Andrea Hlavackova,Flavia Pennetta
Jana Cepelova,Barbora Zahlavova
Alla Kudryavtseva,Donna Vekic
Roberta Vinci,Lesia Tsurenko
Dinah Pfizenmaier,Simona Halep
Teliana Pereira,Yaroslava Shvedova
